site_id,EC_value_fin,area_sqkm,CaO_mean,MgO_mean,S_mean,HC_mean,precip_mean,water_capability,Bulk_mean,OC_mean,soil_ero_mean,soil_permeability,soil_depth,EVI_mean,temperature
1,835.2368421053,3.400746,3.6884615266,1.4671893748,0.4010062589,0.1638396245,605.513885498,146.196565965,1.7300000191,2.1800000668,0.017127454,-4,11.6666666667,0.3657328039,9.230555343
2,490.4545454545,7.138374,1.7467181087,1.1667742042,0.0381925679,0.8526417251,578.099208287,96.8000972454,1.5649999976,0.7449999849,0.0175551451,-4.0357142857,18.1714285714,0.3449003436,9.464682769
3,494.0256410256,1.442077,4.0752349588,1.1675839064,0.2311109578,0.8847206415,592.518668146,108.053001404,1.6800000072,0.6449999809,0.0199122895,-3.5,20,0.3474019437,9.250482427
4,392.2820512821,137.656022,2.0434793734,1.1766703833,0.2459512699,0.8677889735,603.71885158,111.053810172,1.6640146205,1.5910949276,0.0190075016,-3.5617688348,17.982740308,0.3234710882,9.080258004
5,360.2631578947,0.559173,1.4700000286,1.1100000143,0.0199999996,1.2041200399,570.056042071,97.7473106384,1.7300000191,2.1800000668,0.022321499,-3.15,9.1875,0.3731077173,9.569444274
6,784.25,0.092047,3.9544444349,1.3011111021,1.8552768556,0.0677924554,588.583312988,95.8799972534,1.6566714068,0.5749836476,0.0240581504,-3.9506193242,8.8010749586,0.4681450725,8.880555725
7,327.3823529412,9.234175,2.93548245,1.1470374707,0.0871500778,0.9944385742,581.197530111,98.8062583076,1.678888917,0.9377777841,0.0165140285,-3.7097902098,20,0.3240255167,9.528086259
8,526.55,1.517217,2.4454362552,1.1850335622,0.7275750239,0.7579780017,580.985340685,107.37213759,1.7100000382,0.3899999857,0.0180691448,-3.56,18.7826086957,0.3494399072,9.418127489
9,497.7894736842,1.743892,2.9238461588,1.2620118419,0.6079121906,0.5336489289,540.138885498,116.685477547,1.649507259,1.6943053708,0.0172037139,-4,13.1041666667,0.3489810377,9.555555725
10,488.5945945946,0.527238,2.0180392359,1.1521568719,0.7983325263,0.9534595433,585.564625176,145.172795105,1.5175826181,2.4359569587,0.0197339002,-4,7.3333333333,0.3710443721,9.188888549
11,517.3684210526,0.627425,0.8591525524,0.7469491524,0.0203555553,1.0398585897,595.466780859,66.2565002441,1.1657493135,7.9799982003,0.0219495799,-3.5909090909,12,0.2759879664,9.534390784
12,468.7948717949,8.95678,1.7125474975,1.1579106188,0.0285271315,0.6976739083,586.138882107,100.283650755,1.6166667011,0.874444445,0.0191575395,-3.9028776978,20,0.3470709994,9.325000084
13,543.0277777778,1.109579,1.7864151181,1.134339634,0.2145831313,1.059399074,558.59453001,134.755311966,0.5403410315,0.1579394311,0.0202805853,-3.5588235294,20,0.2871286544,9.133748506
14,380.0256410256,0.519724,1.4700000286,1.1100000143,0.0199999996,1.2041200399,569.149617381,108.053001404,1.6562345777,0.5182099355,0.0194984558,-3.5,20,0.3413287382,9.434628863
15,569.1142857143,11.452707,2.2280611498,1.1737729315,0.2865855844,0.7835724211,605.521367,102.259707642,1.6109091152,0.6836363511,0.0209371942,-3.7415730337,17.683908046,0.3583754347,8.863034175
16,388.3333333333,2.092671,2.1687500179,1.1637500078,0.1273562101,0.8845279068,564.855929932,106.650001526,1.6450000405,0.5449999869,0.0143370888,-3.7205882353,20,0.3276927129,9.522609958
17,580.6666666667,0.932998,2.5151612451,1.3164515841,0.0507692308,-0.9782068153,526.236114502,66.2565002441,1.4651634662,8.0534121805,0.0166694084,-4,12,0.3505658209,9.606944656
18,342.8947368421,8.562918,1.7754906728,1.1451401953,0.1455289721,0.9070072783,665.716057671,98.7404927668,1.7180000305,1.403000021,0.0213012852,-4.3320895522,19.1698113208,0.3198704488,9.440740882
19,722.7179487179,0.649968,1.4700000286,1.1100000143,0.0199999996,1.2041200399,579.675094608,66.2565002441,1.7300000191,2.1764628433,0.0134995645,-4,12,0.3148133835,9.460157022
20,391.9459459459,2.164054,2.9691363692,1.2253181821,1.0243000341,0.5184496452,600.722229004,92.1147294478,0.8550000191,0.1949999928,0.0192665963,-3.6029411765,19.3225806452,0.3457723409,8.904166793
21,597.8339350181,1.638069,5.5739156266,1.4292168423,2.5918813924,-0.7206570973,560.44442749,140.992497126,0.2321917519,39.3311624675,0.0164251165,-3.9230769231,4,0.3709916162,9.427777481
22,821.4772727273,1.212897,3.0899999142,1.4299999476,0.0663157898,-2.1784865856,516.166687012,120.779998779,0,0,0.0206787796,-3.7647058824,7,0.3017886148,9.319444274
23,168.105,62.7386046953,6.233524084,2.1718291393,0.4027505573,-1.9920675295,1097.2128058,48.2688855942,1.4260317125,1.6520635438,0.0399293988,-5.565506653,4.9829545455,0.3426975759,7.961205265
24,672.0752688172,26.3795709727,1.617396093,0.9755699427,0.0824438136,0.0649901559,639.957815665,90.1462243887,1.580344862,0.6968965366,0.0254428014,-3.5,14.9911504425,0.3163502134,10.65905351
25,202.3309090909,81.1500221621,2.6801295569,1.2827961244,0.0868936191,-1.5822728073,989.748946178,99.5789634854,1.2804208028,1.7572152403,0.0361188021,-6.3224781573,8.5924512299,0.3417334531,8.897925509
26,285,6.3120004316,7.8954112824,2.4663292105,0.5027452063,-2.1548533093,768.698425293,40.3139882088,1.4099999666,1.4500000477,0.0457353467,-7.8958333333,4.9684210526,0.335223183,7.994841221
27,672,6.49592,3.0899999142,1.4299999476,0.0650000003,-2.1784865856,592.013875326,192.762662584,1.4137499631,1.1487499625,0.0280249518,-3.5,20,0.3641788512,10.72962977
28,669.8870967742,4.045078,2.1637055574,1.1470558187,0.1984540732,-0.3053786682,623.092590332,81.8000030518,1.5800000429,0.6999999881,0.0220614731,-3.5,14,0.3589807649,10.6768519
29,193.6404761905,10.448951,6.9858963141,4.6107075276,0.0446666664,-0.9478129484,851.78786954,188.289767179,1.3999999762,0.8050000072,0.038549281,-4.0372670808,19.7204968944,0.4055589959,8.948737335
30,396.8055555556,0.000626,3.0899999142,1.4299999476,0.0700000003,-2.1784865856,684.611083984,128.699996948,1.3899999857,0.6499999762,0.0368009135,-6,20,0.2539573014,10.19722213
31,345.0833333333,10.576064,1.7639503434,1.8779388923,0.0548664953,-1.9135855045,746.886358088,59.3887469141,1.4063636065,1.3045454892,0.0415546918,-5.9877300614,6.3084415584,0.3693606675,9.049494934
32,168.306122449,62.905979,6.2123127322,2.1672345315,0.4005436295,-1.9902887239,1097.67562669,48.3063176188,1.4230158386,1.6490476737,0.0399342677,-5.5598159509,4.9858597285,0.3419804505,7.93866486
33,289.7058823529,0.003131,3.0899999142,1.4299999476,0.5643299818,-2.1784865856,664.833312988,39.5750007629,1.4099999666,1.4500000477,0.0445125343,-8,4.5,0.4805849791,8.480555725
34,741.875,0.001879,3.0899999142,1.4299999476,0.0700000003,-2.1784865856,743,120.779998779,1.3899999857,0.6499999762,0.0259902589,-3.5,7,0.4098438621,9.291666412
35,444,7.728855,3.0899999142,1.4299999476,0.064424779,-2.1784865856,590.795127869,196.158464973,1.4111110767,1.0933332973,0.0280249518,-3.5,20,0.3538586249,10.72777786
36,389,5.643072,3.0899999142,1.4299999476,0.0667058826,-2.1784865856,591.199987793,186.272276761,1.4157142469,1.2071428129,0.0280249518,-3.5,20,0.3641788512,10.728889
37,60.25,3.850965,2.4197164768,1.2212886709,0.0818518159,-0.5840575922,1108.652771,100.450393151,1.0919781129,2.4566667477,0.0341989321,-5.3050847458,6.9910714286,0.3224405199,8.88125019
38,524,0.999372,3.0899999142,1.4299999476,0.0513333336,-2.1784865856,618.027770996,145.035003662,1.4481259588,0.8624063106,0.030003919,-3.5,20,0.2489640585,10.86527786
39,560.75,1.23544,3.0658557708,1.4214413894,0.0700000003,-2.1505805974,642.93719635,125.664001465,1.5,0.8650000095,0.0312877391,-3.5,16.8888888889,0.2841509463,10.87916833
40,418,5.704437,3.0899999142,1.4299999476,0.0659302328,-2.1784865856,591.199987793,186.915720183,1.4157142469,1.2071428129,0.0280249518,-3.5,20,0.3641788512,10.728889
41,414.8,5.490286,3.0899999142,1.4299999476,0.0666265063,-2.1784865856,591.199987793,185.605853217,1.4157142469,1.2071428129,0.0280249518,-3.5,20,0.3779104054,10.728889
42,352.425,1.559171,1.6959119387,1.0516352132,0.0376190471,-0.5524664562,774.087363633,121.582105938,1.5800000429,0.6999999881,0.0288599143,-5.537037037,15.0909090909,0.3814470321,9.810455636
43,412.05,0.487163,1.4695454199,0.8613636101,0.0488000001,-0.271230023,672.006842565,150.320142473,1.3948250045,0.7545421456,0.0231680759,-3.5,14.8888888889,0.316672493,10.41941758
44,221,0.86725,8.6199998856,2.6300001144,0.5643299818,-2.1992828846,815.055541992,76.2798178537,1.4099999666,1.4500000477,0.0409086145,-6,3.3076923077,0.3613186378,8.741666412
45,72.65,3.194109,5.1756739261,1.972915436,0.3284448831,-1.8838062163,1197.74304199,39.8585333617,1.4099999666,1.4500000477,0.0371479817,-5.375,4.9772727273,0.3331138293,7.484722137
46,93.775,1.384469,8.8714285698,4.0609244419,0.3940152505,-1.4662681863,1188.05693378,77.2191107614,1.3892034419,1.0377879342,0.0382181697,-4,8.1111111111,0.3497749495,7.379144596
47,147.5,1.060737,7.6951924517,5.3008653888,0.0681664266,-0.3968369921,1124.1867627,74.2470730814,1.3984786139,1.0920762407,0.0315376048,-5.9285714286,5,0.3841334157,6.127588596
48,118.6615384615,20.40573,1.7467264621,1.1663976078,0.0301346795,-0.3621198652,962.891807155,92.7932031139,1.2433516763,2.0068182403,0.0362183823,-5.75625,6.9603960396,0.3502685097,8.732310004
49,161.5384615385,10.057593,8.6199998856,2.6300001144,0.5643299818,-2.1992828846,1060.75,39.6529639886,1.4122221867,1.5555556085,0.0383322129,-7.0632911392,4.9901960784,0.363519603,7.3125
50,234.0833333333,10.775187,7.8019957473,1.3230368778,0.0324316125,-0.5943543405,852.780295632,67.7772276031,1.303992682,1.5777778096,0.0378269,-5.7396449704,5.1602564103,0.3548032018,9.397979736
51,114.675,8.425159,3.1872682736,2.1897404203,0.0287603299,-0.3179160172,963.413200378,93.8196498705,1.2379876673,2.0312500596,0.0359783514,-5.4083969466,7.349137931,0.3448371589,8.535069465
52,198,16.398848,8.4693642931,2.5973124586,0.5539448982,-2.1987163995,808.451381683,39.9141753619,1.4162499607,1.7468750626,0.0437299567,-8,5,0.3560993578,7.817361068
53,265,0.83782,8.6199998856,2.6300001144,0.5643299818,-2.1992828846,815.055541992,76.3809579703,1.4099999666,1.4500000477,0.0409086145,-6,3.3333333333,0.3609955678,8.741666412
54,78.25,2.970565,5.1635689687,1.970606136,0.3249602168,-1.8826974851,1197.74304199,39.5750007629,1.4099999666,1.4500000477,0.0368238827,-5.4,4.988372093,0.3331138293,7.484722137
55,156.925,1.135252,8.8451785828,4.1964286353,0.2971649906,-1.4048177503,1031.23548858,77.9638201396,1.3855832728,1.0504585476,0.0413196584,-4,7.7222222222,0.4175929428,8.10215938
56,801.6666666667,0.721351,4.2545714106,1.3325714145,1.2653320424,-0.1826925329,630.017269715,92.0769189199,0.2399712778,38.2462190767,0.0203836183,-3.7083333333,19.3636363636,0.3557993658,8.652777862
57,716.4626865672,1.535377,5.3259090402,1.9704546116,0.3521356409,-0.8420422998,649.767262431,113.816249501,0.7204238691,23.8582128255,0.0196793802,-4,8.2391304348,0.3617585003,9.231757888
58,958,1.080149,3.0384258981,1.3012036847,0.6559993545,-0.4671731326,658.957035202,137.240005493,1.2119419767,7.1636000852,0.0245025214,-3.5,20,0.363006711,8.597932579
59,837.4166666667,0.710707,3.7897260144,1.220821906,1.4351500483,0.0482164311,647.342509825,123.221001365,1.0996211209,0.4721020405,0.0268089244,-3.5,20,0.3325807882,8.704981485
60,943.6666666667,8.130858,1.5519047893,1.1163003798,0.0736781048,1.166658691,557.854179382,88.0024641683,1.6887500137,2.0275000483,0.0157922915,-3.9880952381,12.1776859504,0.3644490615,8.875
61,483.5,1.214776,1.8643442822,1.2085246092,0.0199999996,0.9404045216,647.671126159,73.834197998,1.7300000191,2.1800000668,0.0186255618,-3.5,20,0.3631417006,9.141666412
62,638.4791666667,0.626799,2.9973529437,1.2332352926,0.8045825264,0.427848269,662.632805012,146.520004272,0.2536205924,36.8266742133,0.016511227,-3.5,5.5,0.3270774517,8.588834491
63,823.4333333333,0.639949,1.4700000286,1.1100000143,0.0199999996,1.2041200399,566.36470792,151.55555386,1.6035443864,0.7771166019,0.0186459348,-3.5,20,0.3699186595,8.75133163
64,794.4833333333,0.463368,3.9040425331,1.6274468569,0.2921649907,0.045514789,648.388439528,110.521123886,0.6803337838,13.7634509203,0.0168928157,-4,4.5833333333,0.3768778355,9.23611145
65,1001.8333333333,0.537883,7.0599999428,1.5399999619,3.1333301067,-1.3526170254,564.663225685,140.084999084,0.2309851646,39.4000015259,0.0180969581,-6,4.0714285714,0.3816300156,8.975
66,798.3833333333,0.102692,7.0599999428,1.5399999619,3.1333301067,-1.3526170254,548.098073459,141.823252712,0.8411228657,4.5900001526,0.0169136257,-3.5,3,0.297023009,8.922222137
67,788.0416666667,0.612397,2.8244261624,1.3775409421,0.058888889,-1.6239609093,659.559380313,146.520004272,0.5773461836,24.9258211611,0.027329633,-3.5,5.5625,0.3764882739,8.614947092
68,58.6931034483,4.93988,8.6199998856,2.6300001144,0.5643299818,-2.1992828846,1369.37496948,39.5750007629,1.4099999666,1.4500000477,0.0350452946,-6,5,0.2671261668,7.121527862
69,83,50.285459,5.0858190387,2.1431809646,0.9357829169,-3.0749878137,1329.36807251,47.595000373,0.0281999993,0.029000001,0.0317618878,-0.3226632522,6.3157894737,0.3078067753,7.741666793
70,55.8695652174,50.285459,5.0858190387,2.1431809646,0.9357829169,-3.0749878137,1329.36807251,47.595000373,0.0281999993,0.029000001,0.0317618878,-0.3226632522,6.3157894737,0.3078067753,7.741666793
71,98.6086956522,67.919747,4.8613708875,2.1251730751,0.8095991909,-3.066676892,1295.69289822,56.7183323613,0.3371459351,0.7761764912,0.0319057513,-1.46492891,5.4263803681,0.3210052908,7.842438295
72,127.5833333333,54.03561,5.7591625987,2.4443771657,0.4443714011,-3.3235899066,1200.490743,66.9559793368,0.4363636255,0.4236363758,0.0323763544,-1.9496402878,4.0422794118,0.3145280502,7.685956785
73,101.1538461538,55.72753,5.6213821552,2.4346702174,0.4390959707,-3.3757364744,1201.53216874,66.0556057595,0.4537499888,0.4419642985,0.032396779,-2.0629370629,4.1547619048,0.3180121711,7.690058457
74,117.9166666667,62.297338,5.3185013114,2.4123991809,0.4243529466,-3.4879376056,1211.81444824,63.7247341428,0.5557175521,1.0637500323,0.0327230804,-2.4885654886,4.4514435696,0.322971303,7.756666656
75,106.619047619,144.714246,5.0716492067,2.2629146298,0.6036670973,-3.2524381473,1250.15583827,59.5666702498,0.5027432466,1.1561379646,0.0325870363,-2.2853636769,4.9674556213,0.3301702387,7.855508474
76,120.1333333333,149.547676,5.0266619307,2.2657627566,0.5967056239,-3.2846596753,1244.85850716,59.1649438727,0.5329851373,1.1659333674,0.032711884,-2.405656304,5.0027247956,0.332273547,7.886762154
77,175.2916666667,10.010004,2.9325251428,2.310311936,0.3486224003,-4.5631467728,999.277783203,74.7492311439,1.41699996,1.6900000572,0.0364367677,-6,3.2818181818,0.3653087815,8.141388931
78,114,41.843393,2.874091119,2.3054270681,0.3445636034,-4.578308778,1061.27447074,73.1840858366,1.4135713918,1.5535714797,0.0320513847,-5.9845440495,3.212195122,0.3422053357,7.995899491
79,205.64,7.524722,1.1673404435,1.7531915193,0.1884905729,-3.5048342873,855.345669217,73.7787112674,1.4033333063,1.3116667072,0.0351675736,-4.9444444444,5.8302752294,0.3551662527,8.724691348
80,292.2,4.9906,2.5111155301,2.1700199683,0.2952786523,-4.3583647338,850.566662598,241.411846213,1.3999999762,0.7400000095,0.0392374351,-6,20,0.3558422148,9.861666564
81,311.5833333333,42.84527,8.9148594473,2.612846551,0.5484416249,-2.1684455005,928.990741548,68.3686659521,1.4104347488,1.4747826587,0.0388611526,-5.5926204819,4.2825242718,0.3605182252,7.824933896
82,79.8260869565,31.021869,1.0878056087,2.2066218004,0.2745281641,-5.3298606639,1119.7027832,74.6115817558,0.5287499875,0.5437500179,0.0277946197,-1.6172839506,3.2034883721,0.3022526348,7.517222137
83,151.1,89.8859,2.7331410861,2.2913109113,0.3306559718,-4.6205539135,1066.08172254,66.6989998113,1.0543955787,1.0692308028,0.0301877937,-4.4525521208,4.1116722783,0.3373084721,7.670571623
84,175,91.955402,2.7263719199,2.2870991394,0.3294346372,-4.6104527083,1060.34837935,66.780536006,1.0582608438,1.0733695989,0.0303582197,-4.4807017544,4.1091008772,0.3374354188,7.698958312
85,351.4193548387,26.591694,13.8823017151,1.9955923879,0.344157219,-2.7543466828,991.759256999,122.737571137,0.2153846117,0.1538461538,0.0419337326,-1.1423357664,8.7037037037,0.4438329207,9.631944402
86,69.8260869565,14.787078,1.3453846299,1.1507692475,0.4217116957,-1.4517725018,1183.64378475,60.4749984741,0.2826666594,0.2600000064,0.0272595548,-0.3157894737,4.5,0.3067602866,8.105066037
87,116.6129032258,7.93424,1.0780633071,1.1939620539,0.0533823462,-1.516645805,1180.18652344,72.8380241744,1.4174999595,1.1125000119,0.0255817326,-5.8865546219,3.2168141593,0.3093663566,8.308333369
88,127.7142857143,23.783934,3.0987756673,1.828651594,0.2767496227,-2.6491628638,1089.17874013,73.103153037,1.3139933762,4.1308696892,0.0312691698,-6,3.2175141243,0.3277422073,8.792391304
89,116.9393939394,11.266733,2.2300798654,1.2697870636,0.0707491906,0.6499940015,780.114196777,91.7325802833,0.7733333409,0.324999998,0.0323307588,-2.5789473684,14.4242424242,0.3536833687,10.46172841
90,168.1666666667,10.681261,9.3491713603,3.9589171518,0.440650847,-1.7705485678,898.311102295,63.4418090918,1.4109090567,1.4709091403,0.0388341135,-5.1114457831,4.064516129,0.3630313684,8.023333206
91,242.1111111111,13.554144,3.4881484018,2.3415430528,0.3625470635,-4.3322151525,821.156742641,71.5639008771,1.4107691967,1.4153846594,0.0364754511,-6,3.5911330049,0.3714304626,8.539087241
92,184.6666666667,47.999927,8.2269150975,2.6029679471,0.5487904868,-2.3435637717,1111.66962319,62.78440575,1.4110416323,1.4031250427,0.0325049392,-5.9041278296,4.4541547278,0.3729647243,7.505614666
93,555.7647058824,1.608639,6.6712882599,2.1772393471,0.44817129,-1.6679220214,989.981071492,72.5499966939,1.4099999666,1.4500000477,0.0358812641,-5.4,3.1346153846,0.370130798,7.734841997
94,866.8666666667,0.47777,3.0899999142,1.4299999476,0.0700000003,-2.1784865856,685.130340886,235.580663045,1.3929820377,0.6768384798,0.0433268131,-3.5,20,0.3803901287,10.62258109
95,251.5384615385,14.057587,1.9379388851,2.2247050984,0.2978479571,-4.8990511267,781.766662598,75.0323818752,1.4106666327,1.4200000445,0.038561649,-5.9449541284,3.137755102,0.3546685193,8.860185241
96,134.4615384615,12.079506,8.6131696028,2.6282114288,0.5643299818,-2.1966885743,1086.06481934,62.0130429401,1.4123076567,1.3461538828,0.0348438395,-6,4.5944444444,0.3846062894,7.582407442
