E100	MDS1	MDS2	DP	RC	BT	SA	SP	IC	P	DCA1	DCA2	LAT	LON	SR
13.07835929	-0.421782262	-0.109599162	26	2	-0.8923	31.2973	2.407069488	293.3	62.2709046	-0.695245	-0.161782	70.3	-146.08	14
11.50393789	-0.687217026	0.058053531	31	2	-0.8991	31.3444	2.726143023	307.3	46.83229563	-0.825609	-0.52251	70.35	-146.57	12
11.98495746	-0.193091929	0.007325566	27	2	-0.756	31.2805	4.244606629	330.8	64.8012962	-0.364178	-0.302336	70.22	-148.07	14
14.64481452	-0.10556473	-0.194642873	41	2	-0.8733	31.9668	3.300004614	322.4	18.04454704	-0.369583	-0.420674	70.82	-148.05	15
21.63442633	-0.217091589	0.124089231	24	2	-1.2173	31.4632	2.924773838	322.9	28.1575449	-0.369887	-0.180748	70.73	-148.8	23
7.794046938	-0.685612449	-0.053002807	19.8	2	-0.8745	30.7309	2.862883285	313.6	46.2440839	-1.196125	-0.434827	70.87	-150.5	10
6.870186558	-0.471004351	-0.221217553	39	2	-0.9741	31.2562	2.39576339	298.4	77.2498188	-0.841082	-0.360164	70.14	-145.48	7
12.41905119	-0.474030046	0.05069296	26	2	-0.8991	31.3444	2.726143023	307.3	46.83229563	-0.678971	-0.289629	70.36	-146.6	16
9.235466516	-0.128024004	-0.481929596	19	2	-0.8745	30.7309	3.27417203	316	36.79187201	-0.581833	-0.129747	70.99	-150.53	10
7.617344889	-0.505377368	-0.522113307	4	2	-0.4913	28.2688	2.161362972	291.2	106.3568752	-1.043385	0.277559	70.46	-148.77	8
6.663122939	-0.442717285	-0.381797672	5.8	2	-1.29	31.16	2.501879642	308.4	71.604238	-1.170311	0.06024	70.56	-149.45	7
11.90938807	-0.372151464	-0.24312244	11	2	-1.315	31.2286	2.337552291	301.3	98.1563487	-0.914648	-0.211094	70.57	-149.45	15
5.229980411	-0.45115751	-0.352719168	5	2	-1.315	31.2286	2.337552291	301.3	98.1563487	-1.116325	0.041967	70.56	-149.46	6
12.74809193	-0.542030646	0.26009264	19.5	2	-1.1671	30.9923	2.311520443	290.9	86.4431529	-0.632481	-0.299085	70.52	-147.82	14
9.697510249	-0.027496009	-0.380829644	5.8	2	-1.2776	30.2478	2.12174278	289.6	110.1650039	-0.080814	-0.04571	70.32	-147.56	12
13.71698785	0.004187554	-0.189050716	6.5	2	-1.3206	30.6793	2.12174278	289.6	110.1650039	-0.077247	-0.07285	70.3	-147.5	15
4.429012291	-0.742930416	-0.546511446	1.8	2	-0.8411	28.9594	2.158876048	292.9	149.148385	-1.131257	0.12761	70.59	-151.96	5
5.115856326	-0.114405714	-0.928863211	1.5	2	-0.4913	28.2688	2.161362972	291.2	106.3568752	-0.478341	-0.107935	70.47	-148.85	6
6.552801151	-0.502968512	-0.622073426	1.8	2	-0.4913	28.2688	2.086063217	288.5	115.3947681	-1.269706	0.231089	70.43	-148.67	9
10.53286017	-0.220994165	-0.431227798	13.4	2	-1.0991	30.0739	2.582560301	306.1	59.3993048	-0.629133	-0.187012	70.27	-146.5	11
10.08769198	-0.257744433	-0.469753557	4	2	-0.1329	27.2346	2.550299856	305.6	75.3283775	-0.833628	-0.081337	70.2	-146.5	16
12.92294513	-0.451307486	-0.192309415	14	2	-1.0814	31.2584	2.329531816	295.7	107.8377679	-0.881707	-0.274191	70.64	-150.5	13
